Model;Region;Scenario;Variable;Unit;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
AIM/CGE;World;CPol;Energy Supply|Electricity|Hydro;Billion US$2015/yr;95,58553523;98,2883879;84,6308851;89,4010759;91,3516974;97,1159497;107,8443136;117,9339563;123,0340516;115,4496178;131,5312393;112,2394894;115,6377775;114,4633827;113,7059611;112,9017985;116,9538084;124,3816055
AIM/CGE;World;CPol;Energy Supply|Electricity|Solar;Billion US$2015/yr;13,34254455;15,4460526;41,2665419;48,8918469;51,6843499;57,266421;63,954732;67,878802;70,2080256;64,0100603;63,8009215;61,3560411;73,0179206;71,2726334;69,3574481;67,5149831;81,3210788;89,8610943
AIM/CGE;World;CPol;Energy Supply|Electricity|Wind;Billion US$2015/yr;14,67564135;17,4827645;32,3775994;37,3263843;43,7208792;45,1962643;48,2223636;48,198667;60,2974118;44,2161164;54,8061052;52,5507976;62,9716492;62,276404;61,2278838;60,2362137;73,5687035;82,8802716
AIM/CGE;World;CPol;Energy Supply|Electricity|Geothermal;Billion US$2015/yr;1,832817875;1,9713832;2,1421509;2,4954259;2,2540032;2,4102051;2,6636935;2,9505528;3,2974145;3,2250203;3,5835129;3,6466676;3,8885251;3,9787461;4,0666844;4,1478833;4,5963795;4,8810648
AIM/CGE;World;CPol;Energy Supply|Electricity|Ocean;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;CPol;Energy Supply|Electricity|Transmission and Distribution;Billion US$2015/yr;309,3682438;326,9900356;351,4130777;382,5319311;402,8192643;428,1161457;466,2976729;507,7096554;600,6113061;530,5066542;592,0915088;586,1367054;632,8145507;647,2492585;650,7604859;658,7177607;747,6100119;773,8520398
AIM/CGE;World;CPol;Energy Supply|Electricity|Electricity Storage;Billion US$2015/yr;0;0;0;0;8,1819577;10,3444355;12,2912525;14,7200453;13,8956645;14,7964614;12,3072314;11,2006654;15,7558476;14,8273322;13,6000005;12,2906003;14,5409077;17,2671037
AIM/CGE;World;NDC;Total energy investment;Billion US$2015/yr;1498,411185;1652,791319;1821,139647;2153,241344;2056,680559;2106,633862;2197,972365;2263,306421;2429,401987;2420,210658;2575,54707;2739,450221;2821,669361;2880,549318;2908,566979;2922,580382;3156,677084;3233,601351
AIM/CGE;World;NDC;Total energy investment (supply side);Billion US$2015/yr;1277,411185;1423,544972;1573,088653;1877,732552;1760,601574;1797,980642;1880,188604;1938,937564;2100,116535;2087,077997;2239,013808;2399,194022;2477,557425;2532,722568;2557,00612;2567,145944;2797,563616;2870,919088
AIM/CGE;World;NDC;Low carbon investment;Billion US$2015/yr;477,2559814;526,5537738;726,4860956;1033,188425;895,4199211;990,2421361;1066,488303;1124,925082;1191,499856;1123,516709;1158,806657;1229,665305;1265,054301;1287,867201;1289,1726;1293,259812;1407,107443;1450,80473
AIM/CGE;World;NDC;Low carbon investment (supply side);Billion US$2015/yr;256,2559814;297,3074269;478,4351017;757,6796324;599,3409359;681,5889163;748,7045418;800,5562241;862,2144042;790,384048;822,273395;889,4091065;920,9423645;940,0404502;937,6117404;937,825374;1047,993975;1088,122467
AIM/CGE;World;NDC;Total_inv/GDP;--;2.40%;2.23%;2.12%;2.20%;1.87%;1.72%;1.62%;1.53%;1.50%;1.38%;1.35%;1.33%;1.27%;1.20%;1.13%;1.06%;1.07%;1.03%
AIM/CGE;World;NDC;LC_inv/GDP;--;0.77%;0.71%;0.85%;1.06%;0.81%;0.81%;0.79%;0.76%;0.74%;0.64%;0.61%;0.59%;0.57%;0.54%;0.50%;0.47%;0.48%;0.46%
AIM/CGE;World;NDC;Extraction and Conversion - Fossil Fuels;Billion US$2015/yr;543,8002838;631,2278568;542,5892027;539,1277599;728,900894;709,7650199;705,5463729;680,0892677;684,8836986;790,4760743;843,7633144;892,1862295;905,1277254;904,0771399;899,2732521;886,9367804;910,5580513;920,5686691
AIM/CGE;World;NDC;Electricity - Fossil Fuels w/o CCS;Billion US$2015/yr;207,1841566;200,2934462;176,2125917;149,9228445;118,4400635;123,7345144;127,6001038;141,1879299;185,4968761;165,2879156;198,4592424;208,8562887;224,0770062;241,4225913;255,9701297;263,7754419;289,0090599;290,2688929
AIM/CGE;World;NDC;Hydrogen - Fossil;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;NDC;Electricity - Non-bio Renewables;Billion US$2015/yr;125,6180952;150,6033065;247,8134991;392,9482173;270,9038792;304,5775087;329,2322992;343,4755863;352,1372371;309,2807403;321,5573183;359,0602314;369,5510858;373,376891;362,6143953;359,8615678;403,6686461;419,8402712
AIM/CGE;World;NDC;Hydrogen - Non-fossil;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;NDC;Extraction and Conversion - Bioenergy;Billion US$2015/yr;15,62019;16,0530334;26,9055327;33,2081761;36,7974501;56,8894494;68,6410064;76,4882768;94,2656183;105,5305254;104,5758133;99,9394322;105,1255092;109,4597043;114,6170845;117,9334128;129,4261551;132,6907422
AIM/CGE;World;NDC;Extraction and Conversion - Nuclear;Billion US$2015/yr;75,82021575;88,72603754;117,3193381;124,4689455;115,2468495;74,42528957;79,88072528;87,96298433;113,5720765;112,4972778;128,5704807;144,0180582;151,8135292;160,5329015;169,2375693;176,8172915;204,3054333;215,3824359
AIM/CGE;World;NDC;Electricity - T&D and Storage;Billion US$2015/yr;309,3682438;336,6412912;461,0622461;626,0758029;468,5054786;516,8151283;563,3022051;605,5684609;665,2985674;600,6850047;638,7506577;692,0553985;719,0263686;741,4169381;753,1521901;759,8045214;857,1010218;886,9022138
AIM/CGE;World;NDC;CCS;Billion US$2015/yr;0;0;1,1862431;11,9808053;21,8069592;11,7737318;5,9858916;4,1650579;4,4624611;3,3204589;3,3369813;3,078384;2,8362004;2,4364018;2,1414987;2,0169285;3,4952485;5,2658628
AIM/CGE;World;NDC;Energy Efficiency;Billion US$2015/yr;221;229,2463469;248,050994;275,5087922;296,0789852;308,6532198;317,7837607;324,3688575;329,2854519;333,1326611;336,5332621;340,2561981;344,111936;347,8267505;351,5608592;355,4344378;359,1134678;362,6822627
AIM/CGE;World;NDC;Energy Supply|Electricity|Coal|w/ CCS;Billion US$2015/yr;0;0;0,3524054;1,9199681;4,9516111;5,0267228;2,676194;2,483795;2,9094642;2,5716246;2,8610927;2,6421709;2,3790082;1,9746442;1,6657188;1,5218;2,7244568;4,144731
AIM/CGE;World;NDC;Energy Supply|Electricity|Coal|w/o CCS;Billion US$2015/yr;83,89088268;95,7779614;42,0772265;41,1089269;47,3810256;48,2189939;49,3227337;53,0044027;65,4183775;70,2508534;92,9805669;97,6034692;111,563158;125,6012195;140,5444259;150,7132022;163,9910159;165,2694366
AIM/CGE;World;NDC;Energy Supply|Electricity|Gas|w/ CCS;Billion US$2015/yr;0;0;0,4327347;6,485042;9,6506034;4,3451738;2,3630293;1,120697;0,9977573;0,390233;0,1926164;0,1813116;0,1853335;0,1919642;0,190225;0,1842465;0,208704;0,4634968
AIM/CGE;World;NDC;Energy Supply|Electricity|Gas|w/o CCS;Billion US$2015/yr;100,0600892;84,2289125;116,8054329;93,2807963;54,1225996;58,309941;59,9840297;67,3857388;93,4954788;72,7976944;82,2412243;86,9756528;88,5574552;91,9618305;91,1321234;87,4476282;106,1265275;106,348819
AIM/CGE;World;NDC;Energy Supply|Electricity|Oil|w/ CCS;Billion US$2015/yr;0;0;0,1557671;1,3005955;3,3749176;1,3566847;0,8330768;0,4249083;0,3459921;0,1348967;0,0585893;0,052176;0,052176;0,0520673;0,0527195;0,0547848;0,0440235;0,1157655
AIM/CGE;World;NDC;Energy Supply|Electricity|Biomass|w/ CCS;Billion US$2015/yr;0;0;0;0,0564153;0,2277265;0,0854382;0,1019606;0,1329401;0,188051;0,2190305;0,201095;0,1915294;0,2016385;0,2090301;0,2153347;0,2199001;0,2569668;0,2570755
AIM/CGE;World;NDC;Energy Supply|Electricity|Biomass|w/o CCS;Billion US$2015/yr;9,365564825;7,1944182;12,4306059;19,8280757;23,9454143;39,3262469;48,2326901;57,8803586;77,2238497;85,3659145;84,3954409;78,9154391;82,7527665;85,8864788;89,9717509;92,6494667;104,5787482;106,3915381
AIM/CGE;World;NDC;Energy Supply|Electricity|Nuclear;Billion US$2015/yr;70,11375553;81,8089244;108,8308748;114,7242627;104,5777699;63,7767901;69,1974417;77,0784091;102,1123452;100,4467351;115,6952798;130,0578108;136,7434043;144,4237115;152,0920617;158,648737;184,9581589;194,5693042
AIM/CGE;World;NDC;Energy Supply|Electricity|Hydro;Billion US$2015/yr;95,58553523;103,6450152;100,4683664;104,4203723;91,7629095;57,2267455;60,7255811;63,8313575;79,8950435;77,0286245;88,9085562;102,3839865;107,9487743;109,968529;97,3356324;97,1004056;100,8178369;102,2850695
AIM/CGE;World;NDC;Energy Supply|Electricity|Solar;Billion US$2015/yr;13,34254455;21,9924014;62,9375174;108,6810862;74,1700319;115,2727629;126,7473523;133,8435057;129,3385429;110,3639796;108,954358;124,0655059;128,1896926;131,4097127;133,5702339;133,0627136;153,7348448;162,7618363
AIM/CGE;World;NDC;Energy Supply|Electricity|Wind;Billion US$2015/yr;14,67564135;22,9089598;81,8966453;176,9565345;103,5474026;130,4688055;140,1548451;143,99489;140,5510566;119,7162015;121,1721293;129,9033481;130,5830492;129,0434224;128,644276;126,5475617;145,726481;151,2959429
AIM/CGE;World;NDC;Energy Supply|Electricity|Geothermal;Billion US$2015/yr;1,832817875;1,8751837;2,1744348;2,5365145;1,0551509;1,452232;1,4357096;1,5973465;2,0356249;1,8387692;2,1721521;2,3399849;2,4443369;2,5508629;2,640323;2,7063039;2,9233778;3,0087073
AIM/CGE;World;NDC;Energy Supply|Electricity|Ocean;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;NDC;Energy Supply|Electricity|Transmission and Distribution;Billion US$2015/yr;309,3682438;336,6412912;461,0622461;626,0758029;461,6316167;506,1195918;541,7189505;577,367659;643,4567155;581,5476088;622,1581462;670,6890004;697,3753939;720,3456605;733,0183413;741,0987732;836,9331499;864,2913094
AIM/CGE;World;NDC;Energy Supply|Electricity|Electricity Storage;Billion US$2015/yr;0;0;0;0;6,8738619;10,6955365;21,5832546;28,2008019;21,8418519;19,1373959;16,5925115;21,3663981;21,6509747;21,0712776;20,1338488;18,7057482;20,1678719;22,6109044
AIM/CGE;World;2C;Total energy investment;Billion US$2015/yr;1498,411185;1584,790576;2240,523737;2808,472115;3887,191903;2990,837648;3080,986333;3892,48057;4053,207628;4264,450903;4115,986798;4025,110894;4223,105512;4200,5322;4343,539242;4556,359445;4635,699588;4814,336153
AIM/CGE;World;2C;Total energy investment (supply side);Billion US$2015/yr;1277,411185;1345,147818;1954,274047;2441,051896;3402,702198;2410,186506;2448,224293;3215,67362;3333,768004;3505,226049;3321,098048;3202,534367;3378,329354;3338,079831;3466,082054;3663,528209;3728,449777;3893,792224
AIM/CGE;World;2C;Low carbon investment;Billion US$2015/yr;477,2559814;534,133091;1148,221917;1953,870683;3295,384485;2193,103275;2175,017647;3283,403388;3355,626276;3525,680536;3339,372714;3189,799909;3279,28553;3299,558735;3450,412134;3585,280886;3672,738422;3894,604412
AIM/CGE;World;2C;Low carbon investment (supply side);Billion US$2015/yr;256,2559814;294,4903324;861,9722266;1586,450464;2810,89478;1612,452133;1542,255607;2606,596438;2636,186652;2766,455682;2544,483964;2367,223382;2434,509372;2437,106366;2572,954946;2692,44965;2765,488611;2974,060483
AIM/CGE;World;2C;Total_inv/GDP;--;2.40%;2.14%;2.61%;2.89%;3.61%;2.50%;2.33%;2.68%;2.57%;2.48%;2.21%;1.99%;1.94%;1.79%;1.72%;1.69%;1.61%;1.56%
AIM/CGE;World;2C;LC_inv/GDP;--;0.77%;0.72%;1.34%;2.01%;3.06%;1.83%;1.64%;2.26%;2.12%;2.05%;1.79%;1.58%;1.50%;1.40%;1.37%;1.33%;1.27%;1.26%
AIM/CGE;World;2C;Extraction and Conversion - Fossil Fuels;Billion US$2015/yr;543,8002838;568,7665541;449,223403;281,372124;137,0771133;505,489784;606,6131766;399,083354;370,5808009;411,3573232;440,8408938;509,5767953;609,3142629;563,0590432;543,2450985;604,7346232;579,4582861;516,348914
AIM/CGE;World;2C;Electricity - Fossil Fuels w/o CCS;Billion US$2015/yr;207,1841566;191,7296254;159,9229184;87,4212141;44,4413428;118,2480993;156,7676835;95,7818746;147,4864427;129,6017056;140,207782;152,4627287;155,3309956;157,4698855;162,8186864;164,4121197;168,3042319;171,9955752
AIM/CGE;World;2C;Hydrogen - Fossil;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;2C;Electricity - Non-bio Renewables;Billion US$2015/yr;125,6180952;147,6378618;478,7127347;790,0938851;1186,613441;446,2253483;363,6035653;647,4298092;711,2163823;680,1074206;670,0493009;608,387378;623,3067791;618,6810506;653,0314463;687,2574892;704,6692726;793,5492407
AIM/CGE;World;2C;Hydrogen - Non-fossil;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
